x,y
-4.99939584034,25.3968455624
-4.9988493692,26.1029646155
-4.9986678228,25.4455229989
-4.99836346324,26.1843938763
-4.99834280723,28.5720315255
-4.9982956612,26.502731502
-4.99816884501,21.4383989406
-4.99814120954,22.97752881
-4.99767961336,27.8141195466
-4.99766357215,25.417218633
-4.99747968502,29.2991804066
-4.99743301556,23.2759838617
-4.99628551995,26.7552570665
-4.99628006867,28.7738248807
-4.99614464828,23.8885609664
-4.99609926951,27.2336352595
-4.99584067209,24.1493212109
-4.99569220346,24.6338293777
-4.99527074722,28.8203601707
-4.99524527473,28.3844752322
-4.99512679355,26.9547237699
-4.99511480742,24.1801522614
-4.99510542084,27.4720827233
-4.99479244613,25.9695480887
-4.99452555567,24.4718868035
-4.99450176574,26.4273162046
-4.99435800119,22.2377761748
-4.99431635107,24.8843818973
-4.99410747334,24.3433466534
-4.9940977403,25.7104372327
-4.99363899715,22.2077787201
-4.99356935211,24.9521955572
-4.99345380873,23.1236368851
-4.99272921554,28.2914305456
-4.99246617124,24.7237150045
-4.99207082925,25.2509503629
-4.99194982838,26.7860895824
-4.99183984244,25.803519982
-4.99171841044,28.0923478362
-4.99160848027,23.0545782526
-4.99135130417,25.7403341174
-4.99094583247,25.1542203744
-4.99082043218,19.8186757447
-4.99062170286,27.0417921075
-4.99044479403,28.316921421
-4.99030784204,23.6145944603
-4.99013580333,26.1304045826
-4.98988671976,22.4807068898
-4.98980991055,22.2195969678
-4.9897937512,27.6080620141
-4.98975588439,25.6420931508
-4.98972461583,27.0429694127
-4.9894654481,24.8110263471
-4.98910292197,25.0992357872
-4.98900461664,26.0165112202
-4.98892630089,25.5757436006
-4.98872648837,25.2910556279
-4.98865170399,24.3750472183
-4.98859392771,26.4411283407
-4.98832717194,24.1362934894
-4.98815553462,24.7259886807
-4.98779967904,23.95280916
-4.98743451453,25.1466368917
-4.98739729278,23.97784982
-4.98732480563,24.9945938187
-4.9866839,28.2854010432
-4.98634508036,26.3328217757
-4.98619336801,22.7934931103
-4.98604962337,24.5818324208
-4.98599690755,22.056716655
-4.98590671658,26.1180433528
-4.98522938891,26.1824224663
-4.98514902906,29.3416629585
-4.98508827488,26.0876376271
-4.98500240437,25.4733246954
-4.9849768033,26.360714369
-4.98492377117,27.3854805047
-4.98478973634,22.7959029029
-4.98447619123,25.6437014847
-4.98433658963,25.4624954319
-4.98432367209,23.356580311
-4.98427616402,21.3952233772
-4.98336095186,24.4433270155
-4.98331661679,25.0926000918
-4.98325888596,21.9744002529
-4.98307187196,26.0853461238
-4.98304740682,22.4853982284
-4.98295547264,24.4830764904
-4.98291171757,26.2792052026
-4.98236080366,26.489467043
-4.98230403198,26.1071868847
-4.98196973449,22.5365735212
-4.98191277356,26.0358091046
-4.98162337794,23.5075460965
-4.98161428462,21.3239333797
-4.9814004148,23.902885002
-4.98123822183,23.4941739988
-4.98120950981,25.6577542126
